Tipo,Comuna,Km Totales,Promedio de Largo
Ciclovia,SANTIAGO,631.79,111.62
Ciclovia,LAS CONDES,341.79,142.41
Ciclovia,PROVIDENCIA,265.59,132.13
Ciclovia,PUENTE ALTO,259.78,164.42
Ciclovia,MAIPÚ,231.99,158.9
Ciclovia,ÑUÑOA,213.93,103.85
Ciclovia,LA PINTANA,179.84,256.92
Ciclovia,QUINTA NORMAL,151.54,154.64
Ciclovia,RENCA,142.88,95.26
Ciclovia,LA REINA,130.7,169.74
Ciclovia,LA FLORIDA,128.07,111.37
Ciclovia,SAN JOAQUÍN,121.55,98.02
Ciclovia,PEÑALOLÉN,117.79,240.39
Ciclovia,QUILICURA,102.29,444.74
Ciclovia,ESTACIÓN CENTRAL,96.71,151.12
Ciclovia,CONCHALÍ,76.32,218.06
Ciclovia,INDEPENDENCIA,70.94,128.99
Cruce,SANTIAGO,69.49,13.11
Ciclovia,CERRO NAVIA,63.71,99.55
Ciclovia,RECOLETA,62.69,83.59
Ciclovia,MACUL,61.73,212.85
Ciclovia,SAN BERNARDO,61.23,142.4
Ciclovia,LA GRANJA,57.22,98.65
Ciclovia,VITACURA,54.91,156.88
Ciclovia,CERRILLOS,54.51,218.02
Ciclovia,EL BOSQUE,49.75,75.39
Ciclovia,PUDAHUEL,47.09,130.8
Ciclovia,LO PRADO,33.78,86.61
Ciclovia,PEDRO AGUIRRE CERDA,30.19,120.75
Cruce,PROVIDENCIA,29.7,16.87
Cruce,LAS CONDES,29.3,13.38
Ciclovia,SAN RAMÓN,28.73,92.68
Cruce,ÑUÑOA,26.14,14.36
Ciclovia,LO ESPEJO,25.21,58.62
Cruce,RENCA,19.26,13.96
Ciclovia,LA CISTERNA,15.77,65.73
Cruce,PUENTE ALTO,15.43,10.57
Cruce,MAIPÚ,13.05,10.52
Cruce,LA FLORIDA,12.64,12.77
Cruce,SAN JOAQUÍN,12.52,11.38
Cruce,LA REINA,10.1,14.03
Ciclovia,HUECHURABA,8.23,137.22
Cruce,RECOLETA,8.2,11.72
Cruce,INDEPENDENCIA,7.69,14.79
Cruce,QUINTA NORMAL,7.57,12.82
Cruce,EL BOSQUE,7.02,11.9
Cruce,LA PINTANA,6.74,14.05
Ciclovia,SAN MIGUEL,6.58,109.72
Cruce,ESTACIÓN CENTRAL,6.55,11.7
Cruce,VITACURA,6.21,17.24
Cruce,PEÑALOLÉN,6.01,15.02
Cruce,LA GRANJA,5.34,10.47
Cruce,QUILICURA,5.34,33.34
Cruce,CONCHALÍ,5.32,17.74
Cruce,MACUL,5.2,17.34
Cruce,CERRO NAVIA,4.51,9.8
Cruce,SAN BERNARDO,4.43,13.83
Cruce,LO PRADO,4.41,11.61
Cruce,PUDAHUEL,3.97,12.8
Cruce,CERRILLOS,3.45,13.27
Cruce,SAN RAMÓN,3.18,10.25
Cruce,LO ESPEJO,2.96,7.4
Cruce,PEDRO AGUIRRE CERDA,2.79,12.67
Cruce,LA CISTERNA,1.65,9.68
Cruce,SAN MIGUEL,1.3,21.68
Cruce,HUECHURABA,0.54,26.92
