Comuna,Tipologia,Km Totales,Promedio de Largo,%
CERRILLOS,CA,12.83,91.68,0.3
CERRILLOS,VD,45.12,121.95,1.06
CERRO NAVIA,CA,33.43,54.8,0.78
CERRO NAVIA,PAR,20.84,130.25,0.49
CERRO NAVIA,VD,13.96,42.29,0.33
CONCHALÍ,BAND,2.83,141.55,0.07
CONCHALÍ,PAR,5.45,181.58,0.13
CONCHALÍ,VD,73.37,122.28,1.72
EL BOSQUE,BAND,15.61,74.32,0.37
EL BOSQUE,CA,2.72,67.99,0.06
EL BOSQUE,VD,38.45,38.45,0.9
ESTACIÓN CENTRAL,BAND,49.55,123.88,1.16
ESTACIÓN CENTRAL,CA,16.62,83.1,0.39
ESTACIÓN CENTRAL,PAR,21.58,107.92,0.51
ESTACIÓN CENTRAL,VD,15.51,38.78,0.36
HUECHURABA,VD,8.77,109.65,0.21
INDEPENDENCIA,CA,74.4,75.92,1.74
INDEPENDENCIA,VD,4.23,47.04,0.1
LA CISTERNA,CA,11.34,42.01,0.27
LA CISTERNA,VD,6.08,43.39,0.14
LA FLORIDA,BAND,8,99.98,0.19
LA FLORIDA,CA,34.48,54.72,0.81
LA FLORIDA,PAR,4.82,240.77,0.11
LA FLORIDA,VD,93.43,66.26,2.19
LA GRANJA,BAND,13.98,82.22,0.33
LA GRANJA,PAR,9.6,119.94,0.22
LA GRANJA,VD,38.99,46.41,0.91
LA PINTANA,BAND,66.68,123.48,1.56
LA PINTANA,CA,2.6,51.92,0.06
LA PINTANA,VD,117.31,198.83,2.75
LA REINA,BAND,7.16,39.8,0.17
LA REINA,CA,22.66,133.28,0.53
LA REINA,PAR,48.11,178.2,1.13
LA REINA,VD,62.86,72.26,1.47
LAS CONDES,CA,287.71,80.37,6.73
LAS CONDES,PAR,8.34,833.61,0.2
LAS CONDES,VD,75.04,75.04,1.76
LO ESPEJO,VD,28.16,33.93,0.66
LO PRADO,VD,38.19,49.6,0.89
MACUL,BAND,3.91,65.19,0.09
MACUL,CA,33.32,123.42,0.78
MACUL,PAR,3.47,173.7,0.08
MACUL,VD,26.22,109.24,0.61
MAIPÚ,BAND,36.99,123.29,0.87
MAIPÚ,CA,20.26,38.23,0.47
MAIPÚ,PAR,59,140.47,1.38
MAIPÚ,VD,128.79,88.82,3.01
ÑUÑOA,CA,86.07,64.23,2.01
ÑUÑOA,PAR,5.58,92.96,0.13
ÑUÑOA,VD,148.42,59.85,3.47
PEDRO AGUIRRE CERDA,VD,32.98,70.16,0.77
PEÑALOLÉN,BAND,27.05,128.81,0.63
PEÑALOLÉN,PAR,20.28,168.99,0.47
PEÑALOLÉN,VD,76.47,136.55,1.79
PROVIDENCIA,CA,154.33,66.81,3.61
PROVIDENCIA,PAR,67.85,125.65,1.59
PROVIDENCIA,VD,73.1,79.46,1.71
PUDAHUEL,BAND,31.86,96.53,0.75
PUDAHUEL,PAR,7.09,101.32,0.17
PUDAHUEL,VD,12.11,44.85,0.28
PUENTE ALTO,BAND,27.05,84.54,0.63
PUENTE ALTO,CA,28.27,50.48,0.66
PUENTE ALTO,VD,219.89,101.8,5.15
QUILICURA,BAND,14.76,164,0.35
QUILICURA,PAR,5.14,85.62,0.12
QUILICURA,VD,87.73,365.53,2.05
QUINTA NORMAL,BAND,13.92,464.08,0.33
QUINTA NORMAL,CA,65.67,62.54,1.54
QUINTA NORMAL,PAR,79.52,162.28,1.86
RECOLETA,BAND,19.9,110.55,0.47
RECOLETA,CA,13.95,58.12,0.33
RECOLETA,VD,37.05,35.97,0.87
RENCA,CA,160.19,55.82,3.75
RENCA,VD,1.96,195.96,0.05
SAN BERNARDO,BAND,23.29,105.87,0.55
SAN BERNARDO,PAR,8.95,68.88,0.21
SAN BERNARDO,VD,33.41,83.54,0.78
SAN JOAQUÍN,BAND,13.03,108.58,0.3
SAN JOAQUÍN,CA,1.26,31.56,0.03
SAN JOAQUÍN,PAR,27.26,104.84,0.64
SAN JOAQUÍN,VD,92.52,48.19,2.17
SAN MIGUEL,PAR,4.7,156.65,0.11
SAN MIGUEL,VD,3.18,35.38,0.07
SAN RAMÓN,CA,17.49,38.03,0.41
SAN RAMÓN,VD,14.42,90.1,0.34
SANTIAGO,BAND,16.26,54.19,0.38
SANTIAGO,CA,545.4,59.28,12.76
SANTIAGO,PAR,73.13,130.58,1.71
SANTIAGO,VD,66.5,73.89,1.56
VITACURA,CA,38.3,56.33,0.9
VITACURA,PAR,21.93,1096.63,0.51
VITACURA,VD,0.88,87.84,0.02
