comuna,tipo,km_total,%
CERRILLOS,Inoperativo,5321.0119384769,1.25
CERRILLOS,Operativo,474.57789908477,0.11
CERRO NAVIA,Inoperativo,2052.46766137224,0.48
CERRO NAVIA,Operativo,4769.57835894263,1.12
CONCHALÍ,Inoperativo,2462.86688998523,0.58
CONCHALÍ,Operativo,5701.57670249419,1.33
EL BOSQUE,Inoperativo,3260.30346101882,0.76
EL BOSQUE,Operativo,2417.13413881948,0.57
ESTACIÓN CENTRAL,Inoperativo,2402.21724429562,0.56
ESTACIÓN CENTRAL,Operativo,7924.66594840664,1.85
HUECHURABA,Inoperativo,877.1620102847,0.21
INDEPENDENCIA,Inoperativo,4288.01645724331,1
INDEPENDENCIA,Operativo,3575.25314055469,0.84
LA CISTERNA,Inoperativo,1248.73357832641,0.29
LA CISTERNA,Operativo,493.18473329561,0.12
LA FLORIDA,Inoperativo,9772.23507690739,2.29
LA FLORIDA,Operativo,4299.38162726188,1.01
LA GRANJA,Inoperativo,3744.47097735978,0.88
LA GRANJA,Operativo,2511.3257380063,0.59
LA PINTANA,Inoperativo,4838.87876518848,1.13
LA PINTANA,Operativo,13819.61823364291,3.23
LA REINA,Inoperativo,8097.30989126499,1.9
LA REINA,Operativo,5982.68611514304,1.4
LAS CONDES,Inoperativo,18799.17054557584,4.4
LAS CONDES,Operativo,18309.49768567211,4.29
LO ESPEJO,Inoperativo,2789.77304386883,0.65
LO ESPEJO,Operativo,26.62697972248,0.01
LO PRADO,Inoperativo,3572.3958648013,0.84
LO PRADO,Operativo,246.44933663158,0.06
MACUL,Inoperativo,4028.9926344516,0.94
MACUL,Operativo,2663.7991660443,0.62
MAIPÚ,Inoperativo,8362.43420296088,1.96
MAIPÚ,Operativo,16141.27060443577,3.78
ÑUÑOA,Inoperativo,12483.67315229654,2.92
ÑUÑOA,Operativo,11523.17173671771,2.7
PEDRO AGUIRRE CERDA,Inoperativo,193.20821434756002,0.05
PEDRO AGUIRRE CERDA,Operativo,3104.4625994003,0.73
PEÑALOLÉN,Inoperativo,4333.64608747619,1.01
PEÑALOLÉN,Operativo,8046.26697504796,1.88
PROVIDENCIA,Inoperativo,6427.95162671922,1.5
PROVIDENCIA,Operativo,23100.53085055381,5.41
PUDAHUEL,Inoperativo,773.58874005508,0.18
PUDAHUEL,Operativo,4332.20013979596,1.01
PUENTE ALTO,Inoperativo,19423.122721621232,4.55
PUENTE ALTO,Operativo,8098.30686667563,1.9
QUILICURA,Inoperativo,1618.78370414017,0.38
QUILICURA,Operativo,9143.65160420412,2.14
QUINTA NORMAL,Inoperativo,3165.4135382928002,0.74
QUINTA NORMAL,Operativo,12745.60617526062,2.98
RECOLETA,Inoperativo,2538.7219163607,0.59
RECOLETA,Operativo,4550.89478044015,1.07
RENCA,Inoperativo,14036.65469677743,3.29
RENCA,Operativo,2178.2276590114802,0.51
SAN BERNARDO,Inoperativo,3135.34776356188,0.73
SAN BERNARDO,Operativo,3430.5237819851,0.8
SAN JOAQUÍN,Inoperativo,6175.01383449509,1.45
SAN JOAQUÍN,Operativo,7232.01669638885,1.69
SAN MIGUEL,Operativo,788.37747195893,0.18
SAN RAMÓN,Inoperativo,2907.9135729066998,0.68
SAN RAMÓN,Operativo,282.89104601503,0.07
SANTIAGO,Inoperativo,29359.39619878335,6.87
SANTIAGO,Operativo,40769.18450044232,9.54
VITACURA,Inoperativo,3327.9921453819,0.78
VITACURA,Operativo,2783.494852724,0.65
